"status","url","link text","redir","On page"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/DoD-Preferred-Commercial-Lodging/Become-a-DoD-Preferred-Hotel/","Become a DoD Preferred Hotel","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/Other-Commercial-Lodging/","Other Commercial Lodging","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/","Policy & Regulations","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/","Joint Travel Regulations","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/Changes/","Changes","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/Supplements/","Supplements","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/Computation-Examples/","Computation Examples","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/Archive/","Archive","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/Travel-Policy-Compliance/","Travel Policy Compliance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Policy-Regulations/DoD-Instruction-515431/","DoD Instruction 5154.31","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/","Travel & Transportation Rates","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/Per-Diem/","Per Diem","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/Per-Diem/Per-Diem-Rate-Lookup/","Per Diem Rate Lookup","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/Meal-Rates/","Meal Rates","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
